on: x=-6 to 41 , y=-12 to 39 , z=-10 to 42
on: x=19786 to 41539 , y=-11985 to 3510 , z=-89078 to -62585
on: x=-69134 to -57899 , y=-14537 to -2930 , z=43609 to 57217
on: x=-63294 to -39608 , y=-48334 to -38499 , z=33627 to 49867
on: x=-13641 to -838 , y=-59458 to -47752 , z=61695 to 81638
on: x=26262 to 47900 , y=-71939 to -67371 , z=-2327 to 11490
on: x=41397 to 67113 , y=20446 to 27838 , z=55192 to 69727
on: x=-61415 to -42631 , y=-79824 to -50456 , z=-15994 to 7366
on: x=-13162 to -5678 , y=70097 to 96740 , z=-18064 to 405
on: x=-77814 to -46506 , y=41557 to 55792 , z=-5638 to 18741
on: x=-77342 to -55583 , y=-40514 to -22334 , z=-50171 to -25631
on: x=38632 to 49601 , y=41232 to 51499 , z=-48303 to -41017
on: x=-53506 to -24096 , y=-87035 to -66409 , z=-9127 to 18615
on: x=26165 to 40921 , y=-84915 to -71424 , z=-3718 to 19495
on: x=-4939 to 316 , y=68646 to 96298 , z=-26103 to -13038
on: x=31384 to 41505 , y=19786 to 42641 , z=-63672 to -41466
on: x=-60916 to -38182 , y=35016 to 70898 , z=3366 to 31295
on: x=29127 to 56862 , y=24709 to 42869 , z=50818 to 70920
on: x=-51895 to -33510 , y=-54721 to -38640 , z=-73230 to -54388
on: x=-38104 to -7732 , y=18585 to 49865 , z=51762 to 81590
on: x=-78409 to -65644 , y=-14757 to 1055 , z=29317 to 46620
on: x=-96121 to -65386 , y=-7080 to 9280 , z=13143 to 31964
on: x=19149 to 41215 , y=54709 to 69355 , z=27575 to 43807
on: x=-6002 to 19842 , y=-95609 to -64945 , z=-32982 to -8121
on: x=6766 to 25889 , y=-5640 to 13107 , z=-89762 to -67299
on: x=33913 to 56013 , y=-5283 to 28454 , z=-80385 to -65032
on: x=6520 to 20460 , y=-12445 to 23380 , z=68806 to 93368
on: x=67990 to 85138 , y=26848 to 42404 , z=-19133 to 1267
on: x=-46060 to -30689 , y=20663 to 39885 , z=-83854 to -60641
on: x=7998 to 21638 , y=128 to 20189 , z=70069 to 95243
on: x=-23661 to 35 , y=31127 to 50322 , z=64699 to 87354
on: x=-77503 to -66864 , y=-32895 to -14398 , z=-799 to 11838
on: x=68689 to 83438 , y=33792 to 47001 , z=13803 to 24780
on: x=35200 to 63053 , y=-72724 to -57829 , z=28598 to 48817
on: x=33541 to 39159 , y=-76699 to -45279 , z=-53346 to -26573
on: x=21855 to 50691 , y=41850 to 61559 , z=25889 to 30388
on: x=-10341 to 12939 , y=-83801 to -74421 , z=-43721 to -22149
on: x=41566 to 58825 , y=-6013 to 9212 , z=-67757 to -53445
on: x=-33298 to -26814 , y=-77187 to -73171 , z=-6765 to 6769
on: x=50984 to 64174 , y=5063 to 31458 , z=-62536 to -34031
on: x=2531 to 21997 , y=-1109 to 24717 , z=61742 to 84665
on: x=5418 to 29671 , y=28878 to 51538 , z=58254 to 76730
on: x=-83857 to -52171 , y=-24547 to -712 , z=-52592 to -26440
on: x=55853 to 92892 , y=-44129 to -20969 , z=-9579 to 19961
on: x=-84947 to -64675 , y=-30189 to 2305 , z=-44890 to -28965
on: x=-28461 to -4215 , y=-59739 to -28350 , z=59689 to 84997
on: x=7888 to 15476 , y=68561 to 90567 , z=-31549 to -25297
on: x=-77376 to -64592 , y=-7002 to 5445 , z=-27633 to -22069
on: x=-72213 to -57730 , y=19725 to 38219 , z=-20612 to 9450
on: x=38374 to 47719 , y=62027 to 78647 , z=-20441 to 1989
on: x=-59539 to -40304 , y=16392 to 31994 , z=-69591 to -41689
on: x=68727 to 76497 , y=31619 to 37304 , z=-13164 to 14981
on: x=-21271 to -19001 , y=-28011 to -2985 , z=67597 to 81350
on: x=53409 to 87331 , y=-29583 to -6602 , z=33003 to 48125
on: x=-37664 to -10296 , y=-31918 to -5544 , z=56130 to 94454
on: x=-32100 to -17518 , y=-2858 to 2104 , z=60294 to 83679
on: x=-81260 to -59750 , y=-47909 to -23357 , z=-13117 to 4355
on: x=2573 to 25666 , y=44659 to 59226 , z=-71952 to -53644
on: x=38838 to 58838 , y=-48561 to -33680 , z=37130 to 57850
on: x=-66344 to -54705 , y=-45266 to -30262 , z=43894 to 53708
on: x=-94174 to -72558 , y=-24772 to -20354 , z=1992 to 34790
on: x=55181 to 56006 , y=35125 to 59116 , z=-45434 to -27501
on: x=-60741 to -39326 , y=40413 to 69438 , z=-30159 to -8171
on: x=-77353 to -41928 , y=41200 to 66979 , z=-2085 to 14986
on: x=-66437 to -43792 , y=-33289 to -17174 , z=-49434 to -24720
on: x=56936 to 78176 , y=-25562 to -22200 , z=11817 to 32920
on: x=38682 to 56986 , y=29150 to 58809 , z=-63106 to -37678
on: x=26960 to 32647 , y=59932 to 85348 , z=-30928 to -27105
on: x=-48179 to -25795 , y=8569 to 19633 , z=59174 to 77033
on: x=-35849 to -13828 , y=-27865 to -13801 , z=-95683 to -59887
on: x=65572 to 87510 , y=3995 to 14192 , z=-15309 to 11354
on: x=-57000 to -36998 , y=48763 to 52396 , z=12478 to 46083
on: x=-94430 to -64900 , y=-29634 to -9456 , z=-10324 to 7509
on: x=-80454 to -62603 , y=-29724 to -10752 , z=-24548 to -4590
on: x=64172 to 91747 , y=-53676 to -21558 , z=-12996 to 21143
on: x=50230 to 73411 , y=-58434 to -53040 , z=5316 to 17390
on: x=-63114 to -59063 , y=50568 to 51092 , z=-32974 to -6748
off: x=-5346 to 12828 , y=-94065 to -66684 , z=16653 to 41590
off: x=-48413 to -31269 , y=-30982 to -16844 , z=52979 to 82109
off: x=-27146 to -12627 , y=38532 to 48564 , z=-69504 to -65213
off: x=-62163 to -52037 , y=19703 to 35908 , z=39621 to 58499
on: x=18484 to 52167 , y=6099 to 26595 , z=68343 to 80461
off: x=24892 to 57922 , y=37369 to 52514 , z=31418 to 66347
on: x=63228 to 73398 , y=11870 to 44151 , z=17323 to 42325
on: x=-88276 to -54188 , y=-20551 to 8179 , z=-42723 to -27996
off: x=37150 to 49731 , y=56211 to 65202 , z=18159 to 36718
off: x=759 to 23479 , y=61624 to 84124 , z=30767 to 51873
off: x=-47695 to -13347 , y=-14372 to 13349 , z=-81335 to -60381
on: x=61451 to 74464 , y=32577 to 36792 , z=21339 to 32855
on: x=70117 to 88446 , y=22440 to 40635 , z=-23918 to -2599
on: x=-3372 to 27478 , y=53047 to 55940 , z=-58566 to -55905
off: x=-24720 to -4607 , y=-51176 to -34317 , z=-76211 to -48309
off: x=49813 to 72946 , y=-68748 to -48153 , z=8998 to 24857
off: x=10128 to 22661 , y=49484 to 57338 , z=56927 to 77820
off: x=-9470 to 7258 , y=26533 to 47722 , z=-78365 to -59389
off: x=-30938 to -19988 , y=-66375 to -47763 , z=40111 to 65871
off: x=-15752 to 12998 , y=-43267 to -24156 , z=70932 to 77311
off: x=-53113 to -22807 , y=56287 to 77523 , z=39665 to 50328
off: x=49218 to 63565 , y=15387 to 34092 , z=49663 to 57280
off: x=-22722 to -11723 , y=36042 to 54943 , z=55612 to 56869
on: x=9214 to 34469 , y=41515 to 60872 , z=45203 to 60987
off: x=-82597 to -59056 , y=15777 to 27066 , z=-43969 to -18837
on: x=-77176 to -51830 , y=22534 to 37606 , z=26588 to 53948
on: x=-70071 to -41653 , y=-38160 to -31571 , z=31586 to 65248
off: x=45744 to 76075 , y=-44123 to -28805 , z=-38054 to -29692
off: x=-38298 to -28858 , y=-14082 to 12865 , z=61767 to 83479
on: x=13285 to 35714 , y=-51377 to -35050 , z=-62043 to -36816
off: x=-47120 to -32382 , y=-29818 to -24801 , z=-77642 to -48390
off: x=25300 to 59604 , y=60040 to 81118 , z=9188 to 25901
off: x=17501 to 43646 , y=-90926 to -59732 , z=14861 to 32903
off: x=-21581 to -13788 , y=70050 to 88660 , z=31186 to 47396
on: x=42896 to 51969 , y=-30625 to -7642 , z=-71811 to -59326
on: x=-38436 to -7766 , y=4909 to 33968 , z=-75490 to -72143
off: x=67433 to 81719 , y=16275 to 42103 , z=16334 to 33966
on: x=24560 to 46723 , y=7349 to 26100 , z=-87848 to -67158
on: x=54459 to 60502 , y=-7264 to 14707 , z=-70681 to -38277
off: x=62626 to 80661 , y=-26777 to -17366 , z=-13182 to 22497
on: x=-29835 to -17313 , y=61842 to 84337 , z=-14176 to 9503
on: x=21626 to 49917 , y=66635 to 89641 , z=7779 to 26313
off: x=-69016 to -46360 , y=15767 to 50156 , z=51148 to 54109
on: x=-73883 to -60761 , y=32637 to 47442 , z=-11608 to 6111
on: x=-7112 to 17909 , y=-22404 to -8276 , z=-85638 to -74005
off: x=7165 to 21843 , y=-75219 to -73066 , z=15372 to 43309
off: x=-8947 to -2271 , y=36894 to 40424 , z=69361 to 86893
off: x=7284 to 34464 , y=5094 to 12925 , z=75395 to 95662
off: x=45088 to 65605 , y=20 to 26443 , z=-59729 to -36467
off: x=35462 to 58778 , y=-15582 to 4436 , z=-71756 to -47447
on: x=17138 to 34096 , y=-12276 to 11290 , z=58045 to 84339
off: x=-71294 to -43548 , y=-3191 to 20491 , z=28864 to 59825
on: x=71136 to 88119 , y=-13007 to 8497 , z=-31546 to -13394
on: x=-66159 to -34407 , y=50856 to 70170 , z=4329 to 21758
on: x=59924 to 67943 , y=-46292 to -37846 , z=4555 to 36150
on: x=-5220 to 26388 , y=-93678 to -64914 , z=16201 to 34587
off: x=68404 to 78854 , y=-30125 to -12290 , z=-17499 to -9597
on: x=-71834 to -54721 , y=20467 to 49657 , z=30418 to 55871
off: x=44222 to 64181 , y=18628 to 41560 , z=53406 to 64478
off: x=50918 to 75592 , y=-5396 to 25677 , z=27123 to 50574
on: x=1124 to 21450 , y=-20615 to -823 , z=67756 to 78343
on: x=67407 to 96331 , y=4371 to 34552 , z=-14306 to 4876
on: x=-26803 to -3596 , y=-35625 to 2143 , z=59040 to 92456
off: x=18169 to 40528 , y=-22523 to -3794 , z=66964 to 88640
on: x=6463 to 27266 , y=61806 to 71904 , z=25555 to 51514
on: x=-39547 to -24814 , y=58888 to 79868 , z=33124 to 52709
on: x=20892 to 50714 , y=67492 to 87674 , z=-27670 to -15067
off: x=-67264 to -43510 , y=47960 to 59733 , z=-9127 to 24268
off: x=-73737 to -55042 , y=30319 to 46082 , z=-8497 to 18489
off: x=-51433 to -27062 , y=50938 to 69924 , z=-43465 to -14345
on: x=-38429 to -19065 , y=-82975 to -55502 , z=-30949 to -23260
on: x=51205 to 78828 , y=-55993 to -33519 , z=14645 to 42834
off: x=-59552 to -43106 , y=-64460 to -40283 , z=-61439 to -32533
on: x=-39331 to -11511 , y=-12552 to -7027 , z=-94622 to -61735
on: x=-86611 to -57671 , y=18328 to 51342 , z=11389 to 24360
off: x=-13622 to 18619 , y=-24759 to 1869 , z=77922 to 98690
off: x=52623 to 86840 , y=-49607 to -28046 , z=-23258 to 823
off: x=-60395 to -34712 , y=-39820 to -26646 , z=56815 to 60497
off: x=-20740 to 2337 , y=32965 to 42069 , z=-81437 to -53054
on: x=-56455 to -28922 , y=50933 to 72057 , z=-39639 to -19962
off: x=-17894 to 10492 , y=-84804 to -61552 , z=-27802 to -11116
on: x=-14603 to 12706 , y=8965 to 21446 , z=-88021 to -66985
off: x=56915 to 92356 , y=15835 to 27030 , z=-29464 to -7484
on: x=-30570 to -12286 , y=-29691 to -19642 , z=57541 to 87534
on: x=42817 to 68030 , y=5120 to 16052 , z=54789 to 65079
off: x=24399 to 59944 , y=-27672 to -5436 , z=-67565 to -54256
on: x=69755 to 79379 , y=-26515 to -932 , z=-36705 to -9894
on: x=-3295 to 20379 , y=56783 to 82573 , z=24516 to 50130
off: x=12453 to 32187 , y=55459 to 75001 , z=20124 to 27924
off: x=25556 to 40350 , y=68256 to 80624 , z=-25749 to 166
off: x=-4847 to 4618 , y=-74111 to -57007 , z=39425 to 52253
off: x=31512 to 54748 , y=-48152 to -36753 , z=52492 to 72230
off: x=-12486 to 1048 , y=58617 to 92994 , z=16135 to 23160
off: x=-24140 to 1564 , y=59108 to 71650 , z=34404 to 51089
off: x=47964 to 73086 , y=-45483 to -28013 , z=22883 to 54622
on: x=-40099 to -32344 , y=-22098 to -13332 , z=68192 to 89293
on: x=4500 to 20377 , y=-51267 to -33867 , z=69402 to 83492
on: x=52569 to 81961 , y=-53403 to -24061 , z=1978 to 17679
off: x=36770 to 57506 , y=-4952 to 12087 , z=55047 to 74004
on: x=67554 to 73756 , y=-44519 to -20657 , z=12122 to 18741
off: x=35515 to 51114 , y=11680 to 15294 , z=59339 to 76191
on: x=58862 to 86316 , y=-20952 to -14155 , z=34840 to 38045
on: x=-14592 to 12446 , y=-29111 to -24802 , z=56671 to 79591
on: x=-23543 to -11985 , y=-74819 to -64618 , z=-44703 to -15267
off: x=-37413 to -8170 , y=32425 to 49738 , z=47995 to 66020
off: x=41035 to 54417 , y=45072 to 77846 , z=-26156 to -7275
on: x=-41749 to -11663 , y=-92510 to -69606 , z=1999 to 29221
off: x=48868 to 79698 , y=-28992 to -5540 , z=47520 to 61486
off: x=-61620 to -41801 , y=40715 to 52508 , z=5782 to 34869
off: x=51744 to 64784 , y=13007 to 37571 , z=32567 to 65530
off: x=-89126 to -65770 , y=-31978 to -13182 , z=7976 to 34630
on: x=2249 to 18061 , y=75961 to 81050 , z=-18799 to 5551
off: x=62332 to 74145 , y=12152 to 31203 , z=25298 to 50746
on: x=53318 to 81180 , y=-31592 to -12758 , z=-53847 to -32790
off: x=5713 to 26084 , y=63088 to 86549 , z=-54529 to -21638
on: x=-89462 to -62777 , y=11696 to 16699 , z=558 to 6174
off: x=-74726 to -49998 , y=-24193 to 13297 , z=-63830 to -40164
on: x=51662 to 77838 , y=22383 to 40369 , z=15700 to 37129
on: x=-52337 to -47233 , y=-49555 to -34457 , z=47152 to 57885
on: x=-2966 to 17387 , y=-53364 to -35406 , z=-81895 to -64688
off: x=13205 to 46842 , y=-82921 to -60151 , z=19042 to 41349
on: x=66771 to 97228 , y=5251 to 23596 , z=12694 to 17913
on: x=-71272 to -54724 , y=-53515 to -21787 , z=-18838 to 8939
off: x=-65104 to -46707 , y=-9234 to 15580 , z=36150 to 66720
on: x=-85754 to -63553 , y=35346 to 45469 , z=-11608 to 10829
on: x=-43549 to -27396 , y=58529 to 68624 , z=-30116 to -15328
on: x=-69125 to -48641 , y=22773 to 41447 , z=18939 to 42796
off: x=26012 to 47769 , y=-76467 to -48405 , z=-20843 to -14915
on: x=-23752 to -10052 , y=1078 to 17684 , z=67913 to 83159
on: x=361 to 17866 , y=-87165 to -65868 , z=-53407 to -14724
on: x=32457 to 51888 , y=2427 to 30866 , z=53243 to 75857
off: x=1086 to 28257 , y=71033 to 79472 , z=16654 to 44669
on: x=64570 to 81699 , y=-178 to 29268 , z=30157 to 55657
off: x=-49173 to -29897 , y=63145 to 76697 , z=15633 to 32917
on: x=-45818 to -16924 , y=-24913 to -11164 , z=-84543 to -54123
off: x=-77646 to -60090 , y=17523 to 35846 , z=-36127 to -14895
off: x=-39793 to -16349 , y=-34389 to -17105 , z=64143 to 73522
on: x=179 to 21799 , y=60556 to 77155 , z=-41535 to -6446
on: x=-12196 to 685 , y=47424 to 56102 , z=-64429 to -58332
on: x=30726 to 50777 , y=-7477 to 21328 , z=-86354 to -57028
off: x=47339 to 69901 , y=-26683 to -14653 , z=-56389 to -21754
off: x=58834 to 75585 , y=15510 to 40650 , z=-57490 to -22849
on: x=-33628 to -9451 , y=49680 to 53262 , z=-58740 to -43060
off: x=-71539 to -46149 , y=34327 to 56377 , z=-27208 to -23412
on: x=-89074 to -73728 , y=21316 to 39800 , z=-13001 to -6986
off: x=7927 to 26428 , y=-54041 to -43829 , z=-77144 to -55616
on: x=-71393 to -41736 , y=-4474 to 23943 , z=45755 to 76357
off: x=-3132 to 30888 , y=-85359 to -61796 , z=-8462 to -45
on: x=-40975 to -26298 , y=26200 to 60520 , z=-71698 to -59092
off: x=-56889 to -42195 , y=34074 to 42106 , z=-48559 to -31484
on: x=-837 to 24047 , y=34548 to 59026 , z=39428 to 78547
on: x=-60299 to -32195 , y=40520 to 63885 , z=-47793 to -36527
on: x=76142 to 94075 , y=-13314 to 22610 , z=10050 to 22939
on: x=-3248 to 2027 , y=-38427 to -17604 , z=-93558 to -72784
off: x=25635 to 41478 , y=-83062 to -67853 , z=-4985 to 10325
on: x=-7096 to 2044 , y=-6776 to 22218 , z=-89547 to -63688
on: x=-6369 to 8953 , y=75013 to 85185 , z=14852 to 23714
on: x=48056 to 70720 , y=36283 to 57489 , z=-900 to 19511
off: x=23346 to 43021 , y=25101 to 40085 , z=-79574 to -59090
off: x=16946 to 27550 , y=-78605 to -47815 , z=30802 to 53898
on: x=-47332 to -20930 , y=62034 to 86891 , z=1865 to 9667
on: x=-56270 to -27890 , y=26782 to 49585 , z=54423 to 61423
on: x=-1792 to 10179 , y=-84862 to -56581 , z=-38960 to -20686
off: x=-71551 to -34506 , y=35052 to 55302 , z=-53055 to -19634
off: x=-68036 to -52737 , y=27235 to 38752 , z=-51882 to -43819
on: x=32113 to 47272 , y=-80099 to -59288 , z=5922 to 16248
off: x=-2298 to 34809 , y=-87824 to -49005 , z=32443 to 46459
on: x=63869 to 89095 , y=-38059 to -22076 , z=-25331 to -4453
off: x=-19408 to -9898 , y=-29196 to -13012 , z=68994 to 91275
on: x=-33380 to -17870 , y=49041 to 58372 , z=-59965 to -45839
off: x=18855 to 24560 , y=-26226 to -540 , z=-89420 to -76709
on: x=13397 to 44610 , y=-35375 to -9105 , z=-81220 to -53608
off: x=55453 to 65989 , y=50126 to 56333 , z=1952 to 16210
off: x=55932 to 70104 , y=-43882 to -35225 , z=-37932 to -3942
off: x=-80015 to -58260 , y=16195 to 41548 , z=27114 to 46661
